what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1472652683101
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1472652686108
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652740530
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652850204
executed,command,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1472652859522
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652859559
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652862810
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652862960
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652864495
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1472652864835
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1472652866965
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1472652893734
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1472653092311
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472653285367
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472653288411
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472653288460
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472653289756
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472653289950
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1472653290182
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1472653290183
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1472653290183
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1472653290184
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1472653290184
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1472653290185
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1472653290185
